Project,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
PR2001,joyceBauer,12.Dec.2024,12.Jan.2025,1.0,0.0
PR2001,joyceBauer,12.Jan.2025,12.Feb.2025,1.0,0.0
PR2001,joyceBauer,12.Feb.2025,12.Mar.2025,1.0,0.0
PR2001,joyceBauer,12.Mar.2025,12.Apr.2025,1.0,0.0
PR2001,joyceBauer,12.Apr.2025,12.May.2025,1.0,0.0
PR2001,joyceBauer,12.May.2025,12.Jun.2025,1.0,0.0
PR2001,joyceBauer,12.Jun.2025,12.Jul.2025,1.0,0.0
PR2001,joyceBauer,12.Jul.2025,12.Aug.2025,1.0,0.0
PR2001,joyceBauer,12.Aug.2025,12.Sep.2025,1.0,0.0
PR2001,joyceBauer,12.Sep.2025,12.Oct.2025,1.0,0.0
PR2001,joyceBauer,12.Oct.2025,12.Nov.2025,1.0,0.0
PR2001,joyceBauer,12.Nov.2025,12.Dec.2025,1.0,0.0
PR2001,joyceBauer,12.Dec.2025,12.Jan.2026,1.0,0.0
PR2001,sanjayKhan,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,sanjayKhan,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,sanjayKhan,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,sanjayKhan,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,sanjayKhan,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,sanjayKhan,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,sanjayKhan,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,sanjayKhan,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,sanjayKhan,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,sanjayKhan,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,sanjayKhan,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,sanjayKhan,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,sanjayKhan,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,blairIves,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,blairIves,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,blairIves,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,blairIves,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,blairIves,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,blairIves,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,blairIves,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,blairIves,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,blairIves,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,blairIves,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,blairIves,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,blairIves,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,blairIves,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,toddHayes,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,toddHayes,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,toddHayes,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,toddHayes,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,toddHayes,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,toddHayes,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,toddHayes,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,toddHayes,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,toddHayes,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,toddHayes,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,toddHayes,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,toddHayes,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,toddHayes,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,paulaGranger,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,paulaGranger,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,paulaGranger,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,paulaGranger,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,paulaGranger,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,paulaGranger,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,paulaGranger,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,paulaGranger,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,paulaGranger,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,paulaGranger,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,paulaGranger,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,paulaGranger,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,paulaGranger,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,jasonBerry,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,jasonBerry,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,jasonBerry,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,jasonBerry,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,jasonBerry,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,jasonBerry,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,jasonBerry,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,jasonBerry,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,jasonBerry,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,jasonBerry,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,jasonBerry,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,jasonBerry,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,jasonBerry,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,ericJohnson,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,ericJohnson,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,ericJohnson,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,ericJohnson,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,ericJohnson,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,ericJohnson,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,ericJohnson,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,ericJohnson,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,ericJohnson,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,ericJohnson,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,ericJohnson,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,ericJohnson,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,ericJohnson,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,rakeshGupta,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,rakeshGupta,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,rakeshGupta,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,rakeshGupta,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,rakeshGupta,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,rakeshGupta,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,rakeshGupta,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,rakeshGupta,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,rakeshGupta,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,rakeshGupta,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,rakeshGupta,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,rakeshGupta,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,rakeshGupta,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,seanEvans,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,seanEvans,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,seanEvans,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,seanEvans,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,seanEvans,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,seanEvans,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,seanEvans,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,seanEvans,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,seanEvans,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,seanEvans,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,seanEvans,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,seanEvans,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,seanEvans,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,arunKumar,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,arunKumar,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,arunKumar,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,arunKumar,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,arunKumar,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,arunKumar,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,arunKumar,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,arunKumar,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,arunKumar,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,arunKumar,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,arunKumar,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,arunKumar,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,arunKumar,12.Dec.2025,12.Jan.2026,0.00,0.0
PR2001,nicoleFleming,12.Dec.2024,12.Jan.2025,0.00,0.0
PR2001,nicoleFleming,12.Jan.2025,12.Feb.2025,0.00,0.0
PR2001,nicoleFleming,12.Feb.2025,12.Mar.2025,0.00,0.0
PR2001,nicoleFleming,12.Mar.2025,12.Apr.2025,0.00,0.0
PR2001,nicoleFleming,12.Apr.2025,12.May.2025,0.00,0.0
PR2001,nicoleFleming,12.May.2025,12.Jun.2025,0.00,0.0
PR2001,nicoleFleming,12.Jun.2025,12.Jul.2025,0.00,0.0
PR2001,nicoleFleming,12.Jul.2025,12.Aug.2025,0.00,0.0
PR2001,nicoleFleming,12.Aug.2025,12.Sep.2025,0.00,0.0
PR2001,nicoleFleming,12.Sep.2025,12.Oct.2025,0.00,0.0
PR2001,nicoleFleming,12.Oct.2025,12.Nov.2025,0.00,0.0
PR2001,nicoleFleming,12.Nov.2025,12.Dec.2025,0.00,0.0
PR2001,nicoleFleming,12.Dec.2025,12.Jan.2026,0.00,0.0
